epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,169.153,0.42294,0.6148,0.33854,0.79863,0.97114,0.97335,0.99021,0.91042,0.97114,0.97335,0.99021,0.7662,0.41596,0.6995,0.36325,0.79638,0.0017228,0.0017228,0.0017228
30,175.38,0.40829,0.59084,0.32898,0.79549,0.95847,0.99365,0.9896,0.89743,0.95847,0.99365,0.9896,0.77416,0.49677,0.77098,0.41859,0.80356,0.0017129,0.0017129,0.0017129
31,180.563,0.44079,0.58639,0.34972,0.79637,0.95946,0.99116,0.98884,0.88554,0.95946,0.99116,0.98884,0.7675,0.49075,0.74989,0.43539,0.80742,0.001703,0.001703,0.001703
32,185.88,0.4204,0.5581,0.33275,0.79602,0.95984,0.98477,0.98957,0.87791,0.95984,0.98477,0.98957,0.77024,0.51619,0.78228,0.43635,0.80565,0.0016931,0.0016931,0.0016931
33,191.751,0.45008,0.62229,0.33927,0.80393,0.9618,0.98604,0.99144,0.89913,0.9618,0.98604,0.99144,0.77905,0.48014,0.69863,0.4307,0.80175,0.0016832,0.0016832,0.0016832
34,197.61,0.4412,0.60165,0.33748,0.79788,0.96486,0.98731,0.99204,0.89702,0.96362,0.98604,0.99168,0.73721,0.47609,0.80431,0.39737,0.79975,0.0016733,0.0016733,0.0016733
35,203.506,0.4417,0.60464,0.33794,0.79795,0.96041,0.98604,0.99201,0.90047,0.96041,0.98604,0.99201,0.75191,0.45131,0.72814,0.40902,0.79589,0.0016634,0.0016634,0.0016634
36,208.947,0.48179,0.60668,0.34355,0.80395,0.9641,0.9884,0.99128,0.88343,0.9641,0.9884,0.99128,0.79728,0.54066,0.7574,0.42322,0.80903,0.0016535,0.0016535,0.0016535
37,214.157,0.45624,0.59305,0.33896,0.80289,0.95936,0.98856,0.99119,0.90041,0.95936,0.98856,0.99119,0.74436,0.46572,0.73683,0.38574,0.80184,0.0016436,0.0016436,0.0016436
38,219.942,0.4711,0.57954,0.34531,0.79905,0.95613,0.99492,0.99113,0.90092,0.95613,0.99492,0.99113,0.74023,0.47266,0.72977,0.37787,0.80281,0.0016337,0.0016337,0.0016337
